TEMP_C,PRESSURE_PA,PING_TIME_US
22.10,99265,10367
22.10,99265,10414
22.10,99265,10264
22.10,99258,10393
22.10,99263,10368
22.10,99262,10393
22.10,99263,10238
22.10,99271,10238
22.10,99268,10291
22.10,99264,10284
22.10,99271,10291
22.10,99270,10317
22.10,99259,10368
22.10,99265,10441
22.10,99267,10266
22.10,99274,10317
22.10,99268,10343
22.10,99266,10369
22.10,99266,10264
22.10,99266,10343
22.10,99271,10266
22.10,99267,10445
22.10,99264,10465
22.10,99262,10238
22.10,99266,10266
22.10,99270,10266
22.10,99267,10292
22.10,99261,10317
22.10,99269,10264
22.10,99262,10292
22.10,99270,10466
22.10,99269,10266
22.10,99263,10266
22.10,99261,10264
22.10,99274,10266
22.10,99267,10393
22.10,99267,10417
22.10,99267,10317
22.00,99267,10264
22.10,99265,10340
22.00,99267,10393
22.00,99268,10264
22.00,99270,10335
22.00,99270,10289
22.10,99268,10237
22.00,99269,10264
22.00,99267,10289
22.00,99262,10263
22.00,99273,10289
22.00,99269,10237
22.00,99270,10315
22.00,99268,10238
22.00,99264,10310
22.00,99267,10264
22.00,99273,10289
22.00,99271,10262
22.00,99263,10210
22.00,99273,10340
22.00,99267,10289
22.00,99271,10237
22.00,99267,10392
22.00,99262,10340
22.00,99268,10263
22.00,99258,10413
22.00,99273,10262
22.00,99273,10263
22.00,99273,10256
22.00,99273,10262
22.00,99272,10262
22.00,99266,10288
22.00,99268,10262
22.00,99274,10314
22.00,99271,10365
22.00,99272,10256
22.00,99263,10263
22.00,99265,10263
22.00,99262,10417
22.00,99271,10263
22.00,99277,10262
22.00,99271,10288
22.00,99259,10235
22.00,99275,10390
22.00,99269,10234
22.00,99269,10288
22.00,99274,10289
22.00,99266,10262
22.00,99271,10262
22.00,99275,10262
22.00,99265,10238
22.00,99268,10289
22.00,99269,10238
22.00,99262,10238
22.00,99264,10237
22.00,99266,10284
22.00,99266,10239
22.00,99273,10241
22.00,99270,10234
22.00,99267,10292
22.00,99266,10292
22.00,99264,10266
22.00,99276,10238
22.00,99266,10291
22.00,99270,10264
22.00,99269,10292
22.00,99268,10289
22.00,99270,10468
22.00,99272,10262
22.00,99272,10237
22.00,99271,10289
22.00,99268,10263
22.00,99267,10411
22.00,99268,10289
22.00,99268,10237
22.00,99264,10263
22.00,99268,10386
22.00,99266,10289
22.00,99271,10289
22.00,99270,10264
22.00,99267,10314
22.00,99266,10238
22.00,99273,10237
22.00,99267,10289
22.00,99270,10418
22.00,99269,10365
22.00,99269,10288
21.90,99273,10289
22.00,99268,10213
22.00,99270,10317
22.00,99267,10259
22.00,99272,10238
22.00,99269,10266
22.00,99269,10233
22.00,99263,10238
22.00,99266,10291
22.00,99268,10289
21.90,99272,10317
21.90,99266,10317
21.90,99267,10289
21.90,99270,10359
21.90,99269,10238
21.90,99271,10264
21.90,99267,10238
21.90,99276,10315
21.90,99273,10368
21.90,99273,10368
21.90,99272,10241
21.90,99269,10266
21.90,99275,10266
21.90,99262,10317
21.90,99270,10259
21.90,99271,10213
21.90,99268,10264
21.90,99271,10472
21.90,99271,10389
21.90,99274,10268
21.90,99270,10266
21.90,99268,10266
21.90,99269,10266
21.90,99267,10238
21.90,99269,10238
21.90,99277,10284
21.90,99270,10238
21.90,99265,10264
21.90,99266,10291
21.90,99273,10266
21.90,99270,10393
21.90,99265,10241
21.90,99270,10259
21.90,99273,10293
21.90,99273,10419
21.90,99270,10266
21.90,99268,10267
21.90,99273,10292
21.90,99276,10264
21.90,99272,10420
21.90,99271,10264
21.90,99275,10444
21.90,99269,10342
21.90,99271,10212
21.90,99273,10318
21.90,99276,10264
21.90,99276,10266
21.90,99273,10262
21.90,99275,10289
21.90,99270,10237
21.90,99273,10266
21.90,99270,10213
21.90,99271,10266
21.90,99279,10289
21.90,99274,10262
21.90,99274,10288
21.90,99275,10238
21.90,99281,10312
21.90,99278,10238
21.90,99276,10393
21.90,99274,10238
21.90,99278,10266
21.90,99275,10289
21.90,99275,10238
21.90,99273,10263
21.90,99273,10291
21.90,99269,10210
21.90,99275,10291
21.90,99276,10291
21.90,99273,10393
21.90,99277,10291
21.90,99271,10264
21.90,99272,10365
21.90,99272,10365
21.90,99278,10262
21.90,99269,10263
21.90,99279,10365
21.90,99281,10264
21.90,99280,10289
21.90,99275,10210
21.90,99274,10262
21.90,99273,10393
21.90,99278,10238
21.90,99274,10210
21.90,99277,10291
21.90,99271,10291
21.90,99276,10388
21.90,99278,10291
21.90,99278,10238
21.90,99271,10238
21.90,99281,10289
21.90,99272,10210
21.90,99273,10291
21.90,99276,10210
21.90,99275,10238
21.90,99277,10238
21.90,99275,10239
21.90,99275,10238
21.90,99274,10343
21.90,99279,10439
21.90,99276,10266
21.90,99276,10318
21.90,99270,10266
21.90,99277,10344
21.90,99278,10213
21.90,99275,10369
21.90,99278,10212
21.90,99283,10264
21.90,99281,10264
21.90,99282,10420
21.90,99276,10214
21.90,99285,10264
21.90,99276,10317
